id,blog_id,url,blog,fulldate,date,time,hour,notes,notes_mean,notes_index,post_frequency
719,1.29415E+11,http://adidasoriginals.tumblr.com/post/129414779691/the-adidas-originals-x-spezial-fw15-footwear,adidas,2015-09-19 13:00:40 GMT,9/19/2015,13:00:40,13,142,166,0.855421687,3
720,1.29405E+11,http://adidasoriginals.tumblr.com/post/129405134440/a-tennis-classic-the-gs-spzl-returns-in-an,adidas,2015-09-19 08:00:35 GMT,9/19/2015,8:00:35,8,109,166,0.656626506,3
721,1.29368E+11,http://adidasoriginals.tumblr.com/post/129367729919/shades-of-white-shades-of-light-tubular-shot,adidas,2015-09-18 20:00:59 GMT,9/18/2015,20:00:59,20,196,166,1.180722892,17
722,1.29364E+11,http://adidasoriginals.tumblr.com/post/129364277667/tubular-shot-in-paris-by-high-snobiety,adidas,2015-09-18 19:00:42 GMT,9/18/2015,19:00:42,19,60,166,0.361445783,17
723,1.29361E+11,http://adidasoriginals.tumblr.com/post/129361141356/tubular-shot-in-paris-by-high-snobiety,adidas,2015-09-18 18:00:34 GMT,9/18/2015,18:00:34,18,350,166,2.108433735,17
724,1.29358E+11,http://adidasoriginals.tumblr.com/post/129358127326/minds-of-the-future-documented-through-the-lens,adidas,2015-09-18 17:00:40 GMT,9/18/2015,17:00:40,17,244,166,1.469879518,17
725,1.29355E+11,http://adidasoriginals.tumblr.com/post/129355169616/tubular-shot-in-paris-by-high-snobiety,adidas,2015-09-18 16:00:51 GMT,9/18/2015,16:00:51,16,68,166,0.409638554,17
726,1.29352E+11,http://adidasoriginals.tumblr.com/post/129352295639/tubular-shot-in-paris-by-high-snobiety,adidas,2015-09-18 15:00:49 GMT,9/18/2015,15:00:49,15,65,166,0.391566265,17
727,1.2935E+11,http://adidasoriginals.tumblr.com/post/129349532685/tubular-shot-in-paris-by-high-snobiety,adidas,2015-09-18 14:00:28 GMT,9/18/2015,14:00:28,14,70,166,0.421686747,17
728,1.29347E+11,http://adidasoriginals.tumblr.com/post/129347043952/straight-up-tubular-style-shot-by-high-snobiety,adidas,2015-09-18 13:00:34 GMT,9/18/2015,13:00:34,13,89,166,0.536144578,17
729,1.29343E+11,http://adidasoriginals.tumblr.com/post/129342890904/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 11:00:27 GMT,9/18/2015,11:00:27,11,52,166,0.313253012,17
730,1.2934E+11,http://adidasoriginals.tumblr.com/post/129339792080/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 09:00:24 GMT,9/18/2015,9:00:24,9,107,166,0.644578313,17
731,1.29338E+11,http://adidasoriginals.tumblr.com/post/129338312283/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 08:00:31 GMT,9/18/2015,8:00:31,8,49,166,0.295180723,17
732,1.29337E+11,http://adidasoriginals.tumblr.com/post/129336554317/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 07:00:26 GMT,9/18/2015,7:00:26,7,219,166,1.319277108,17
733,1.29334E+11,http://adidasoriginals.tumblr.com/post/129334388132/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 06:00:24 GMT,9/18/2015,6:00:24,6,90,166,0.542168675,17
734,1.29332E+11,http://adidasoriginals.tumblr.com/post/129331716390/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 05:00:19 GMT,9/18/2015,5:00:19,5,117,166,0.704819277,17
735,1.29329E+11,http://adidasoriginals.tumblr.com/post/129328514716/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 04:00:48 GMT,9/18/2015,4:00:48,4,52,166,0.313253012,17
736,1.29325E+11,http://adidasoriginals.tumblr.com/post/129324943857/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 03:00:34 GMT,9/18/2015,3:00:34,3,223,166,1.343373494,17
737,1.29321E+11,http://adidasoriginals.tumblr.com/post/129321215462/shot-in-shanghai-new-ways-to-style-the-tubular,adidas,2015-09-18 02:00:46 GMT,9/18/2015,2:00:46,2,87,166,0.524096386,17
738,1.29206E+11,http://adidasoriginals.tumblr.com/post/129206104971/the-second-munchen-spzl-colourway-for-this-season,adidas,2015-09-16 10:00:32 GMT,9/16/2015,10:00:32,10,149,166,0.897590361,3
739,1.29205E+11,http://adidasoriginals.tumblr.com/post/129204651093/a-collectors-favourite-returns-the-munchen-spzl,adidas,2015-09-16 09:00:25 GMT,9/16/2015,9:00:25,9,104,166,0.626506024,3
740,1.29203E+11,http://adidasoriginals.tumblr.com/post/129203169521/the-adidas-originals-x-spezial-series-continues-to,adidas,2015-09-16 08:00:32 GMT,9/16/2015,8:00:32,8,73,166,0.439759036,3
741,1.28736E+11,http://adidasoriginals.tumblr.com/post/128736302361/from-merseyside-to-innsbruck-we-explore-our,adidas,2015-09-09 23:01:02 GMT,9/9/2015,23:01:02,23,92,166,0.554216867,6
742,1.28725E+11,http://adidasoriginals.tumblr.com/post/128725263742/from-merseyside-to-innsbruck-we-explore-our,adidas,2015-09-09 20:01:03 GMT,9/9/2015,20:01:03,20,43,166,0.259036145,6
743,1.2871E+11,http://adidasoriginals.tumblr.com/post/128710125739/from-merseyside-to-innsbruck-we-explore-our,adidas,2015-09-09 15:00:41 GMT,9/9/2015,15:00:41,15,49,166,0.295180723,6
744,1.28704E+11,http://adidasoriginals.tumblr.com/post/128704087981/from-merseyside-to-innsbruck-we-explore-our,adidas,2015-09-09 12:30:21 GMT,9/9/2015,12:30:21,12,57,166,0.343373494,6
745,1.28703E+11,http://adidasoriginals.tumblr.com/post/128703019959/from-merseyside-to-innsbruck-we-explore-our,adidas,2015-09-09 12:00:54 GMT,9/9/2015,12:00:54,12,63,166,0.379518072,6
746,1.28698E+11,http://adidasoriginals.tumblr.com/post/128698396429/from-merseyside-to-innsbruck-we-explore-our,adidas,2015-09-09 09:24:14 GMT,9/9/2015,9:24:14,9,51,166,0.307228916,6
747,1.28483E+11,http://adidasoriginals.tumblr.com/post/128483056419/a-vision-of-the-future-tubular-shot-by-high,adidas,2015-09-06 15:05:46 GMT,9/6/2015,15:05:46,15,169,166,1.018072289,1
748,1.2794E+11,http://adidasoriginals.tumblr.com/post/127939762359/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-30 13:00:41 GMT,8/30/2015,13:00:41,13,106,166,0.638554217,2
749,1.27931E+11,http://adidasoriginals.tumblr.com/post/127931058692/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-30 09:00:33 GMT,8/30/2015,9:00:33,9,114,166,0.686746988,2
750,1.27874E+11,http://adidasoriginals.tumblr.com/post/127873967797/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-29 17:00:49 GMT,8/29/2015,17:00:49,17,136,166,0.819277108,4
751,1.2786E+11,http://adidasoriginals.tumblr.com/post/127860094125/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-29 13:00:52 GMT,8/29/2015,13:00:52,13,86,166,0.518072289,4
752,1.27856E+11,http://adidasoriginals.tumblr.com/post/127855651733/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-29 11:00:47 GMT,8/29/2015,11:00:47,11,143,166,0.861445783,4
753,1.2785E+11,http://adidasoriginals.tumblr.com/post/127849921482/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-29 08:00:30 GMT,8/29/2015,8:00:30,8,77,166,0.463855422,4
754,1.27801E+11,http://adidasoriginals.tumblr.com/post/127801464785/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-28 18:00:56 GMT,8/28/2015,18:00:56,18,220,166,1.325301205,2
755,1.27785E+11,http://adidasoriginals.tumblr.com/post/127785068064/uk-grime-artist-stormzy-reps-adidas-originals-by,adidas,2015-08-28 12:38:51 GMT,8/28/2015,12:38:51,12,84,166,0.506024096,2
756,1.27676E+11,http://adidasoriginals.tumblr.com/post/127675758109/the-next-instalment-of-the-adidas-originals-by,adidas,2015-08-27 01:00:58 GMT,8/27/2015,1:00:58,1,350,166,2.108433735,1
757,1.2766E+11,http://adidasoriginals.tumblr.com/post/127659883036/the-next-instalment-of-the-adidas-originals-by,adidas,2015-08-26 21:00:40 GMT,8/26/2015,21:00:40,21,152,166,0.915662651,4
758,1.27652E+11,http://adidasoriginals.tumblr.com/post/127652271629/the-next-instalment-of-the-adidas-originals-by,adidas,2015-08-26 19:00:50 GMT,8/26/2015,19:00:50,19,67,166,0.403614458,4
759,1.27642E+11,http://adidasoriginals.tumblr.com/post/127642242695/the-next-instalment-of-the-adidas-originals-by,adidas,2015-08-26 16:01:06 GMT,8/26/2015,16:01:06,16,95,166,0.572289157,4
760,1.27633E+11,http://adidasoriginals.tumblr.com/post/127633332145/the-next-instalment-of-the-adidas-originals-by,adidas,2015-08-26 13:00:44 GMT,8/26/2015,13:00:44,13,148,166,0.891566265,4
761,1.27567E+11,http://adidasoriginals.tumblr.com/post/127567193961/we-have-lift-off-adidas-originals-by-rita-ora,adidas,2015-08-25 17:00:43 GMT,8/25/2015,17:00:43,17,127,166,0.765060241,2
762,1.2756E+11,http://adidasoriginals.tumblr.com/post/127560215724/we-have-lift-off-adidas-originals-by-rita-ora,adidas,2015-08-25 14:54:31 GMT,8/25/2015,14:54:31,14,146,166,0.879518072,2
763,1.2683E+11,http://adidasoriginals.tumblr.com/post/126830316171/todd-james-invites-you-into-his-colourful-world,adidas,2015-08-16 15:00:30 GMT,8/16/2015,15:00:30,15,239,166,1.439759036,1
764,1.26751E+11,http://adidasoriginals.tumblr.com/post/126750822820/todd-james-graphics-come-to-life-with-the,adidas,2015-08-15 15:00:34 GMT,8/15/2015,15:00:34,15,268,166,1.614457831,3
765,1.26734E+11,http://adidasoriginals.tumblr.com/post/126734172293/japanese-designer-mr-brings-his-signature-style-to,adidas,2015-08-15 08:00:31 GMT,8/15/2015,8:00:31,8,179,166,1.078313253,3
766,1.26731E+11,http://adidasoriginals.tumblr.com/post/126730943259/some-things-are-black-and-white-boost-technology,adidas,2015-08-15 06:46:01 GMT,8/15/2015,6:46:01,6,161,166,0.969879518,3
767,1.26685E+11,http://adidasoriginals.tumblr.com/post/126684821684/yeezyboost-350-by-kanye-west-back-in-black,adidas,2015-08-14 18:35:56 GMT,8/14/2015,18:35:56,18,451,166,2.71686747,4
768,1.26672E+11,http://adidasoriginals.tumblr.com/post/126672245307/architect-zaha-hadids-work-transforms-our-ideas,adidas,2015-08-14 15:00:54 GMT,8/14/2015,15:00:54,15,234,166,1.409638554,4
769,1.26664E+11,http://adidasoriginals.tumblr.com/post/126663601419/pharrells-creative-spirit-shines-bright-with,adidas,2015-08-14 11:55:28 GMT,8/14/2015,11:55:28,11,211,166,1.271084337,4
770,1.26658E+11,http://adidasoriginals.tumblr.com/post/126658142744/the-shelltoe-of-the-superstar-is-sculpted-for-the,adidas,2015-08-14 09:18:51 GMT,8/14/2015,9:18:51,9,141,166,0.84939759,4
771,1.25858E+11,http://adidasoriginals.tumblr.com/post/125858483880/head-and-heart-smithe-listens-to-the-voice-inside,adidas,2015-08-04 18:00:45 GMT,8/4/2015,18:00:45,18,223,166,1.343373494,3
772,1.25841E+11,http://adidasoriginals.tumblr.com/post/125840996026/believe-in-yourself-hold-on-to-what-matters,adidas,2015-08-04 13:00:52 GMT,8/4/2015,13:00:52,13,305,166,1.837349398,3
773,1.25829E+11,http://adidasoriginals.tumblr.com/post/125829455500/yoons-head-is-not-turned-by-popular-demand,adidas,2015-08-04 08:00:24 GMT,8/4/2015,8:00:24,8,330,166,1.987951807,3
774,1.25773E+11,http://adidasoriginals.tumblr.com/post/125772992467/composed-vj-mian-is-an-originalsuperstar,adidas,2015-08-03 18:00:45 GMT,8/3/2015,18:00:45,18,427,166,2.572289157,3
775,1.25756E+11,http://adidasoriginals.tumblr.com/post/125755803882/balanced-grigoriy-dobrygin-is,adidas,2015-08-03 13:00:45 GMT,8/3/2015,13:00:45,13,595,166,3.584337349,3
776,1.25744E+11,http://adidasoriginals.tumblr.com/post/125744317825/grounded-pusha-t-is-an-originalsuperstar,adidas,2015-08-03 08:00:37 GMT,8/3/2015,8:00:37,8,466,166,2.807228916,3
777,1.24316E+11,http://adidasoriginals.tumblr.com/post/124315823819/dig-deep-into-the-dark-side-of-your-imagination,adidas,2015-07-17 09:33:43 GMT,7/17/2015,9:33:43,9,297,166,1.789156627,5
778,1.24316E+11,http://adidasoriginals.tumblr.com/post/124315781989/the-new-star-wars-mi-zx-flux-options-in-miadidas,adidas,2015-07-17 09:32:29 GMT,7/17/2015,9:32:29,9,405,166,2.439759036,5
779,1.24316E+11,http://adidasoriginals.tumblr.com/post/124315695124/dig-deep-into-the-dark-side-of-your-imagination,adidas,2015-07-17 09:30:02 GMT,7/17/2015,9:30:02,9,298,166,1.795180723,5
780,1.24316E+11,http://adidasoriginals.tumblr.com/post/124315563359/dig-deep-into-the-dark-side-of-your-imagination,adidas,2015-07-17 09:26:07 GMT,7/17/2015,9:26:07,9,174,166,1.048192771,5
781,1.24316E+11,http://adidasoriginals.tumblr.com/post/124315538469/dig-deep-into-the-dark-side-of-your-imagination,adidas,2015-07-17 09:25:25 GMT,7/17/2015,9:25:25,9,224,166,1.34939759,5
782,1.23909E+11,http://adidasoriginals.tumblr.com/post/123909064847/a-step-forward-a-vision-of-the-future-tubular,adidas,2015-07-12 19:01:03 GMT,7/12/2015,19:01:03,19,169,166,1.018072289,1
783,1.23826E+11,http://adidasoriginals.tumblr.com/post/123825782098/if-you-want-it-take-it-tubular,adidas,2015-07-11 19:01:10 GMT,7/11/2015,19:01:10,19,419,166,2.524096386,2
784,1.23794E+11,http://adidasoriginals.tumblr.com/post/123793668496/tubular-x-coming-this-autumn,adidas,2015-07-11 08:00:26 GMT,7/11/2015,8:00:26,8,97,166,0.584337349,2
787,1.19198E+11,http://adidasoriginals.tumblr.com/post/119198229951/you-know-who-it-is-last-year-he-was-back-this,adidas,2015-05-17 16:01:11 GMT,5/17/2015,16:01:11,16,279,166,1.680722892,1
788,1.18766E+11,http://adidasoriginals.tumblr.com/post/118766483754/introducing-the-palace-pro-primeknit-trainer-a,adidas,2015-05-12 07:55:25 GMT,5/12/2015,7:55:25,7,330,166,1.987951807,4
789,1.18766E+11,http://adidasoriginals.tumblr.com/post/118766483749/introducing-the-palace-pro-primeknit-trainer-a,adidas,2015-05-12 07:55:25 GMT,5/12/2015,7:55:25,7,321,166,1.93373494,4
790,1.18766E+11,http://adidasoriginals.tumblr.com/post/118766483689/meet-the-palace-pro-trainer-featuring-premium,adidas,2015-05-12 07:55:24 GMT,5/12/2015,7:55:24,7,268,166,1.614457831,4
791,1.18766E+11,http://adidasoriginals.tumblr.com/post/118766481280/meet-the-palace-pro-trainer-featuring-premium,adidas,2015-05-12 07:55:24 GMT,5/12/2015,7:55:24,7,218,166,1.313253012,4
792,1.17766E+11,http://adidasoriginals.tumblr.com/post/117766460504/the-electrifying-new-topshop-for-adidas-originals,adidas,2015-04-30 11:58:26 GMT,4/30/2015,11:58:26,11,381,166,2.295180723,1
793,1.35461E+11,http://comedycentral.tumblr.com/post/135461326245/from-hotline-bling-to-the-dress-the-daily-show,comedycentral,2015-12-18 20:41:51 GMT,12/18/2015,20:41:51,20,462,453,1.01986755,2
794,1.3541E+11,http://comedycentral.tumblr.com/post/135409966790/the-furs-awakens,comedycentral,2015-12-18 00:00:00 GMT,12/18/2015,0:00:00,0,807,453,1.781456954,2
798,1.35337E+11,http://comedycentral.tumblr.com/post/135336733085/trevor-looks-at-the-latest-ups-and-downs-of-the,comedycentral,2015-12-16 20:54:56 GMT,12/16/2015,20:54:56,20,413,453,0.911699779,2
799,1.3533E+11,http://comedycentral.tumblr.com/post/135330324755/nightlyshow-the-nightly-show-has-ted-cruzs,comedycentral,2015-12-16 18:56:45 GMT,12/16/2015,18:56:45,18,1004,453,2.216335541,2
800,1.35274E+11,http://comedycentral.tumblr.com/post/135275116785/thedailyshow-trevor-compares-isis-to-a-group,comedycentral,2015-12-15 21:54:50 GMT,12/15/2015,21:54:50,21,829,453,1.830022075,2
801,1.35261E+11,http://comedycentral.tumblr.com/post/135260664270/the-force-is-weak-with-ted-cruz-click-here-to,comedycentral,2015-12-15 17:29:00 GMT,12/15/2015,17:29:00,17,668,453,1.474613687,2
802,1.35074E+11,http://comedycentral.tumblr.com/post/135074276035/theres-a-whole-world-in-there,comedycentral,2015-12-12 23:00:00 GMT,12/12/2015,23:00:00,23,201,453,0.443708609,3
803,1.35048E+11,http://comedycentral.tumblr.com/post/135048280050/the-best-ugly-christmas-sweaters-are-free-range,comedycentral,2015-12-12 15:00:00 GMT,12/12/2015,15:00:00,15,72,453,0.158940397,3
804,1.35009E+11,http://comedycentral.tumblr.com/post/135013456575/nightlyshow-larry-gives-supreme-court-justice,comedycentral,2015-12-12 00:25:24 GMT,12/12/2015,0:25:24,0,597,453,1.317880795,3
815,1.3473E+11,http://comedycentral.tumblr.com/post/134729797915/free-wifi-doesnt-judge,comedycentral,2015-12-07 16:00:00 GMT,12/7/2015,16:00:00,16,132,453,0.291390728,1
816,1.34659E+11,http://comedycentral.tumblr.com/post/134659295190/go-from-fashionista-to-fursionista-with-this-cat,comedycentral,2015-12-06 16:00:00 GMT,12/6/2015,16:00:00,16,74,453,0.163355408,1
817,1.34596E+11,http://comedycentral.tumblr.com/post/134596288850/hello-its-the-daily-show,comedycentral,2015-12-05 17:00:00 GMT,12/5/2015,17:00:00,17,1220,453,2.693156733,2
818,1.3459E+11,http://comedycentral.tumblr.com/post/134590456355/the-delmarva-fox-squirrel-is-off-the-endangered,comedycentral,2015-12-05 15:00:00 GMT,12/5/2015,15:00:00,15,55,453,0.121412804,2
819,1.34545E+11,http://comedycentral.tumblr.com/post/134545221700/have-you-seen-the-latest-nathan-for-you-urine-for,comedycentral,2015-12-04 21:00:00 GMT,12/4/2015,21:00:00,21,67,453,0.14790287,5
820,1.34542E+11,http://comedycentral.tumblr.com/post/134544151675/nightlyshow-violence-is-not-the-reason-larry,comedycentral,2015-12-04 20:39:36 GMT,12/4/2015,20:39:36,20,930,453,2.052980132,5
821,1.34541E+11,http://comedycentral.tumblr.com/post/134540704325/trevor-takes-a-closer-look-at-the-least-likable,comedycentral,2015-12-04 19:31:28 GMT,12/4/2015,19:31:28,19,494,453,1.090507726,5
822,1.3449E+11,http://comedycentral.tumblr.com/post/134504232670/nightlyshow-larry-responds-to-the-recent,comedycentral,2015-12-04 03:40:26 GMT,12/4/2015,3:40:26,3,1582,453,3.492273731,5
823,1.34495E+11,http://comedycentral.tumblr.com/post/134495490950/when-you-remember-theres-a-new-nathan-for-you,comedycentral,2015-12-04 01:00:00 GMT,12/4/2015,1:00:00,1,90,453,0.198675497,5
824,1.34489E+11,http://comedycentral.tumblr.com/post/134489112250/if-you-can-dream-it-you-can-achieve-it-all-new,comedycentral,2015-12-03 23:00:04 GMT,12/3/2015,23:00:04,23,91,453,0.200883002,3
825,1.34479E+11,http://comedycentral.tumblr.com/post/134478762060/randy-was-depressed-and-then-it-hit-him-watch,comedycentral,2015-12-03 20:00:00 GMT,12/3/2015,20:00:00,20,107,453,0.236203091,3
826,1.34476E+11,http://comedycentral.tumblr.com/post/134476449305/take-a-bite-out-of-last-nights-daily-show,comedycentral,2015-12-03 19:16:53 GMT,12/3/2015,19:16:53,19,311,453,0.686534216,3
827,1.34411E+11,http://comedycentral.tumblr.com/post/134410672370/catch-up-on-the-media-scandal-swallowing-south,comedycentral,2015-12-02 19:00:00 GMT,12/2/2015,19:00:00,19,77,453,0.169977925,2
828,1.34405E+11,http://comedycentral.tumblr.com/post/134404696775/december-at-comedy-central-stage-take-a-break-from,comedycentral,2015-12-02 17:00:00 GMT,12/2/2015,17:00:00,17,13,453,0.028697572,2
829,1.3436E+11,http://comedycentral.tumblr.com/post/134360222885/the-starry-dress-by-vincent-van-whiteandgold,comedycentral,2015-12-01 23:27:24 GMT,12/1/2015,23:27:24,23,294,453,0.649006623,3
830,1.3435E+11,http://comedycentral.tumblr.com/post/134349860185/the-daily-show-urges-caution-in-the-wake-of,comedycentral,2015-12-01 20:30:54 GMT,12/1/2015,20:30:54,20,2854,453,6.300220751,3
831,1.34342E+11,http://comedycentral.tumblr.com/post/134341775170/donut-tell-us-what-to-do,comedycentral,2015-12-01 17:58:00 GMT,12/1/2015,17:58:00,17,2443,453,5.392935982,3
